Binary Question,QuestionType,Question,choices,right,right text,wrong text,info
TRUE,1,THE GIRAFFE:<br><br>Is easily excited?,,TRUE,RIGHT — Advance 1,WRONG — No Move — Answer correctly next turn. ,"<br>What was the experience of interwar animal traders in Africa?<br><br><a target=""_blank"" href=""http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/white-man%E2%80%99s-conquest-1926"">A White Man's Conquest (1926)</a>"
TRUE,1,THE GIRAFFE:<br><br>Is the world's tallest animal?,,TRUE,RIGHT — Advance 1,WRONG — No Move — Answer correctly next turn. ,"<br>Would you like to visit a depression era zoo?<br><br><a target=""_blank"" href=""http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/king-mountain-1930s"">King of the Mountain (1930s)</a>"
FALSE,1,THE GIRAFFE:<br><br>Eats?,Meat (carnivorous)?/Vegetation (herbivorous)?/Both (omnivorous)?,Vegetation (herbivorous)?,WRONG — No Move — Answer correctly next turn./ RIGHT — Advance 1/ WRONG — No Move — Answer correctly next turn. ,,"<br>Would you like to attend a chimpanzee show?<br><br><a target=""_blank"" href=""http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/see-performing-chimps-1930s-1970s"">See the Performing Chimps!</a>"
TRUE,2,Is this a sign of a Giraffe:<br><br>Leaves nibbled 12 ft. from the ground?,,TRUE,RIGHT — Advance 1,WRONG — Back 1,"<br>How were animals trained to be performers at the zoo?<br><br><a target=""_blank"" href=""http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/see-performing-chimps-1930s-1970s"">See the Performing Chimps!</a>"
TRUE,2,Is this a sign of a Giraffe:<br><br>Claw marks on trees?,,FALSE,WRONG — Back 1,RIGHT — Advance 1,"<br>Would you like to see a film about 1930s capture and expedition?<br><br><a target=""_blank"" href=""http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/congorilla-1930-1932"">Congorilla (1930-32)</a>"
TRUE,2,Is this a sign of a Giraffe:<br><br>Freshly killed game?,,FALSE,WRONG — Back 1,RIGHT — Advance 1,"<br>What happened to African animals (like gorillas) when they were brought to America?<br><br><a target=""_blank"" href=""http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/congorilla-1930-1932"">Congorilla (1930-32)</a>"
TRUE,2,Is this a sign of a Giraffe:<br><br>Broken Acaia brances?,,TRUE,RIGHT — Advance 1,WRONG — Back 1,"<br>Would you like to visit two gorillas captured in Africa on display in America?<br><br><a target=""_blank"" href=""http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/congorilla-1930-1932"">Congorilla (1930-32)</a>"
TRUE,2,Is this a sign of a Giraffe:<br><br>Vultures circling overhead?,,FALSE,WRONG — Back 1,RIGHT — Advance 1,"<br>Would you like to visit a children's zoo after WWII?<br><br><a target=""_blank"" href=""http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/shirley-visits-zoo-1951"">Shirley Visits the Zoo (1951)</a>"
TRUE,2,Is this a sign of a Giraffe:<br><br>Rubbed termite nests?,,FALSE,WRONG — Back 1,RIGHT — Advance 1,"<br>Would you like to see the zoo through a little girl's eyes?<br><br><a target=""_blank"" href=""http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/shirley-visits-zoo-1951"">Shirley Visits the Zoo (1951)</a>"
TRUE,2,Is this a sign of a Giraffe:<br><br>Hair tuffs in trees 10 ft. above the groud?,,TRUE,RIGHT — Advance 1,WRONG — Back 1,"<br>Would you like to learn about the remarkable life of a performing chimpanzee who was chimp-napped?<br><br><a target=""_blank"" href=""http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/chimp-napping-mr-moke-1959-1961"">The Chimp-napping of Mr. Moke (1959-61)</a>"
TRUE,2,Is this a sign of a Giraffe:<br><br>footprints_yes,,TRUE,RIGHT — Advance 1,WRONG — Back 1,<br>How did zoo scientists learn about animals?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/how-be-zoo-man-1940s-1950s">How to be a Zoo Man (1940s-50s)</a>
FALSE,3,Will you capture by:,Luring to pit with live bait?/Using a lasso?,Using a lasso?,WRONG...Animal Escaped. Back 2 towards fresh trail./ CAPTURED...Peg-in Animal on Picture Panel. ,,"<br>How did Americans want captured animals to behave?<br><br><a target=""_blank"" href=""http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/jungle-brawls-1934"">Jungle Brawls (1934)</a>"
FALSE,4,Standard transport to zoo:,By air?/By ship?/By rail?,By ship?,NO MOVE — Too Costly. Answer again on next turn./ RIGHT — Move peg to Animal in Zoo./ WRONG — No Move — Answer correctly next turn. ,,"<br>How did zoos bring large animals from jungles to enclosures?<br><br><a target=""_blank"" href=""http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/rhino-rhino-1948"">Rhino Rhino (1948)</a> "

