Binary Question,QuestionType,Question,choices,right,right text,wrong text,info
TRUE,1,THE ZEBRA:<br><br>Travels in herds?,,TRUE,RIGHT – Advance 1,WRONG – No Move – Answer correctly next turn. ,"<br>How were animals trained to be performers at the zoo?<br><br><a target=""_blank"" href=""http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/see-performing-chimps-1930s-1970s"">See the Performing Chimps!</a>"
TRUE,1,THE ZEBRA:<br><br>Has a loud snort?,,TRUE,RIGHT – Advance 1,WRONG – No Move – Answer correctly next turn. ,"<br>Would you like to see a film about 1930s capture and expedition?<br><br><a target=""_blank"" href=""http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/congorilla-1930-1932"">Congorilla (1930-32)</a>"
FALSE,1,THE ZEBRA:<br><br>Eats?,Meat (carnivorous)?/Vegetation (herbivorous)?/Both (omnivorous)?,Vegetation (herbivorous)?,WRONG – No Move – Answer correctly next turn./ RIGHT – Advance 1/ WRONG – No Move – Answer correctly next turn. ,,"<br>What happened to African animals (like gorillas) when they were brought to America?<br><br><a target=""_blank"" href=""http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/congorilla-1930-1932"">Congorilla (1930-32)</a>"
TRUE,2,Is this a sign of a Zebra:<br><br>Nibbled leaves?,,TRUE,RIGHT – Advance 1,WRONG – Back 1,"<br>Would you like to visit two gorillas captured in Africa on display in America?<br><br><a target=""_blank"" href=""http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/congorilla-1930-1932"">Congorilla (1930-32)</a>"
TRUE,2,Is this a sign of a Zebra:<br><br>Claw marks on trees?,,FALSE,WRONG – Back 1,RIGHT – Advance 1,"<br>Would you like to visit a zoo during WWII?<br><br><a target=""_blank"" href=""http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/visit-africa-bronx-1940s"">Visit Africa in the Bronx (1940s)</a>"
TRUE,2,Is this a sign of a Zebra:<br><br>Freshly killed game?,,FALSE,WRONG – Back 1,RIGHT – Advance 1,"<br>Did zoo animals live only behind bars?<br><br><a target=""_blank"" href=""http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/visit-africa-bronx-1940s"">Visit Africa in the Bronx (1940s)</a>"
TRUE,2,Is this a sign of a Zebra:<br><br>Broken Acaia brances?,,TRUE,WRONG – Back 1,RIGHT – Advance 1,"<br>Would you like to visit a safari park in the 1970s?<br><br><a target=""_blank"" href=""http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/safari-park-1959-1970s"">Safari Park (1970)</a>"
TRUE,2,Is this a sign of a Zebra:<br><br>Vultures circling overhead?,,FALSE,WRONG – Back 1,RIGHT – Advance 1,"<br>What happens when the zookeepers went on strike?<br><br><a target=""_blank"" href=""http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/keepers-go-strike-1940s-1960s"">Keepers go on Strike</a>"
TRUE,2,Is this a sign of a Zebra:<br><br>A loud snort?,,TRUE,RIGHT – Advance 1,WRONG – Back 1,"<br>Would you like to visit a children's zoo after WWII?<br><br><a target=""_blank"" href=""http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/shirley-visits-zoo-1951"">Shirley Visits the Zoo (1951)</a>"
TRUE,2,Is this a sign of a Zebra:<br><br>Rubbed termite nests?,,FALSE,RIGHT – Advance 1,WRONG – Back 1,"<br>Would you like to see the zoo through a little girl's eyes?<br><br><a target=""_blank"" href=""http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/shirley-visits-zoo-1951"">Shirley Visits the Zoo (1951)</a>"
TRUE,2,Is this a sign of a Zebra:<br><br>footprints_yes,,TRUE,RIGHT – Advance 1,WRONG – Back 1,<br>How did zoo scientists learn about animals?<br><br><a target="_blank" href="http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/how-be-zoo-man-1940s-1950s">How to be a Zoo Man (1940s-50s)</a>
FALSE,3,Will you capture by:,Using a large throwing net?/Using a lasso?,Using a lasso?,CAPTURED...Peg-in Animal on Picture Panel./ WRONG...Animal Escaped. Back 2 towards fresh trail. ,,"<br>How many people did it take to capture large animals?<br><br><a target=""_blank"" href=""http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/how-capture-elephants-ceylon-1920s-30s"">How to Capture Elephants in Ceylong (1920s-30s)</a>"
FALSE,4,Standard transport to zoo:,By air?/By ship?/By rail?,By ship?,NO MOVE – Too Costly. Answer again on next turn./ RIGHT – Move peg to Animal in Zoo./ WRONG – No Move – Answer correctly next turn. ,,"<br>How did zoos bring large animals from jungles to enclosures?<br><br><a target=""_blank"" href=""http://digitalscholarship.utsc.utoronto.ca/projects/animal-empire/content/rhino-rhino-1948"">Rhino Rhino (1948)</a>"
